855,Joel David Moore,1000,CCH Pounder,Avatar ,Wes Studi,2009,936
1000,Orlando Bloom,40000,Johnny Depp,Pirates of the Caribbean: At World's End ,Jack Davenport,2007,5000
161,Rory Kinnear,11000,Christoph Waltz,Spectre ,Stephanie Sigman,2015,393
23000,Christian Bale,27000,Tom Hardy,The Dark Knight Rises ,Joseph Gordon-Levitt,2012,23000
,Rob Walker,131,Doug Walker,Star Wars: Episode VII - The Force Awakens             ,,,12
530,Samantha Morton,640,Daryl Sabara,John Carter ,Polly Walker,2012,632
4000,James Franco,24000,J.K. Simmons,Spider-Man 3 ,Kirsten Dunst,2007,11000
284,Donna Murphy,799,Brad Garrett,Tangled ,M.C. Gainey,2010,553
19000,Robert Downey Jr.,26000,Chris Hemsworth,Avengers: Age of Ultron ,Scarlett Johansson,2015,21000
10000,Daniel Radcliffe,25000,Alan Rickman,Harry Potter and the Half-Blood Prince ,Rupert Grint,2009,11000
2000,Lauren Cohan,15000,Henry Cavill,Batman v Superman: Dawn of Justice ,Alan D. Purwin,2016,4000
903,Marlon Brando,18000,Kevin Spacey,Superman Returns ,Frank Langella,2006,10000
393,Mathieu Amalric,451,Giancarlo Giannini,Quantum of Solace ,Rory Kinnear,2008,412
1000,Orlando Bloom,40000,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,Jack Davenport,2006,5000
1000,Ruth Wilson,40000,Johnny Depp,The Lone Ranger ,Tom Wilkinson,2013,2000
748,Christopher Meloni,15000,Henry Cavill,Man of Steel ,Harry Lennix,2013,3000
201,Pierfrancesco Favino,22000,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,Damián Alcázar,2008,216
19000,Robert Downey Jr.,26000,Chris Hemsworth,The Avengers ,Scarlett Johansson,2012,21000
1000,Sam Claflin,40000,Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,Stephen Graham,2011,11000
718,Michael Stuhlbarg,10000,Will Smith,Men in Black 3 ,Nicole Scherzinger,2012,816
773,Adam Brown,5000,Aidan Turner,The Hobbit: The Battle of the Five Armies ,James Nesbitt,2014,972
963,Andrew Garfield,15000,Emma Stone,The Amazing Spider-Man ,Chris Zylka,2012,10000
738,William Hurt,891,Mark Addy,Robin Hood ,Scott Grimes,2010,882
773,Adam Brown,5000,Aidan Turner,The Hobbit: The Desolation of Smaug ,James Nesbitt,2013,972
1000,Eva Green,16000,Christopher Lee,The Golden Compass ,Kristin Scott Thomas,2007,6000
84,Thomas Kretschmann,6000,Naomi Watts,King Kong ,Evan Parke,2005,919
794,Kate Winslet,29000,Leonardo DiCaprio,Titanic ,Gloria Stuart,1997,14000
11000,Scarlett Johansson,21000,Robert Downey Jr.,Captain America: Civil War ,Chris Evans,2016,19000
627,Alexander Skarsgård,14000,Liam Neeson,Battleship ,Tadanobu Asano,2012,10000
1000,Judy Greer,3000,Bryce Dallas Howard,Jurassic World ,Omar Sy,2015,2000
393,Helen McCrory,883,Albert Finney,Skyfall ,Rory Kinnear,2012,563
4000,James Franco,24000,J.K. Simmons,Spider-Man 2 ,Kirsten Dunst,2004,11000
3000,Jon Favreau,21000,Robert Downey Jr.,Iron Man 3 ,Don Cheadle,2013,4000
